Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Nadir Lamyaghri,"1,85m",droit,250000.0,Gardien de but,35,27,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"1,83",2136,2012/13
Yassine El Houasli,"1,84m",droit,100000.0,Gardien de but,21,4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,67",200,2012/13
Mourad Lemsen,-,,175000.0,Défense,32,29,25.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,"1,92",2225,2012/13
Abderahim Benkajjane,"1,84m",,100000.0,Défense,27,5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"2,40",366,2012/13
Youssef Rabeh,"1,80m",ambidextre,375000.0,Défenseur central,27,20,19.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,"1,58",1654,2012/13
Hicham Amrani,"1,84m",droit,325000.0,Défenseur central,26,11,11.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,"2,09",990,2012/13
Yassine Rami,"1,85m",,100000.0,Défenseur central,25,9,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,"1,33",777,2012/13
Amine Atouchi,"1,86m",droit,50000.0,Défenseur central,20,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,50",180,2012/13
Khalid Sekkat,"1,80m",gauche,400000.0,Arrière gauche,28,10,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"1,57",630,2012/13
Oussama El Gharib,"1,78m",gauche,275000.0,Arrière gauche,25,4,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"1,50",294,2012/13
Ayoub El Khaliqi,"1,86m",droit,850000.0,Arrière droit,25,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,00",16,2012/13
Jamal Alioui,"1,80m",droit,250000.0,Arrière droit,30,7,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,"1,14",573,2012/13
Said Fatah,"1,73m",gauche,450000.0,Milieu défensif,26,27,23.0,0.0,3.0,4.0,0.0,0.0,5.0,3.0,"1,91",1596,2012/13
Youness Mankari,"1,73m",ambidextre,250000.0,Milieu défensif,29,24,22.0,1.0,1.0,9.0,1.0,0.0,1.0,1.0,"1,86",1830,2012/13
Ali Rachdi,"1,78m",droit,75000.0,Milieu défensif,19,3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"1,33",258,2012/13
Omar Ati Allah,-,,75000.0,Milieu,19,3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"0,33",61,2012/13
Abdessamad Zaoui,-,,75000.0,Milieu,21,7,6.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,"0,83",218,2012/13
Anas Al-Asbahi,"1,80m",gauche,75000.0,Milieu défensif,18,17,15.0,0.0,0.0,3.0,0.0,0.0,8.0,4.0,"1,87",681,2012/13
Mohamed Berrabeh,"1,78m",ambidextre,800000.0,Milieu central,26,24,20.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,"2,15",1549,2012/13
Bakr El Helali,"1,87m",droit,300000.0,Milieu central,24,18,18.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,"1,61",1270,2012/13
Ayoub Skouma,"1,73m",droit,250000.0,Milieu central,25,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"1,50",45,2012/13
Omar Najdi,"1,70m",droit,450000.0,Milieu droit,25,20,18.0,3.0,3.0,1.0,0.0,0.0,8.0,6.0,"1,50",913,2012/13
Bakary Koné,"1,69m",droit,250000.0,Milieu droit,23,17,14.0,2.0,3.0,2.0,0.0,0.0,7.0,3.0,"2,21",702,2012/13
Abderrazak El Mnasfi,"1,88m",gauche,500000.0,Milieu offensif,30,10,8.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,"1,88",292,2012/13
Bobley Anderson,"1,85m",droit,350000.0,Milieu offensif,20,24,21.0,3.0,1.0,3.0,0.0,0.0,2.0,7.0,"1,71",1681,2012/13
Yassine Lakhal,"1,79m",gauche,600000.0,Ailier gauche,22,9,8.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,"1,75",410,2012/13
Abdelghani Mouaoui,"1,78m",,75000.0,Ailier gauche,23,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"1,00",72,2012/13
Jawad Issine,"1,83m",ambidextre,200000.0,Ailier droit,21,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"3,00",197,2012/13
Fabrice Ondama,"1,78m",droit,700000.0,Avant-centre,24,22,20.0,5.0,2.0,3.0,0.0,0.0,1.0,7.0,"1,60",1598,2012/13
Youness Hawassi,"1,80m",droit,250000.0,Avant-centre,27,17,14.0,1.0,0.0,1.0,0.0,0.0,8.0,4.0,"1,79",588,2012/13
